Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
147.729092504,-0.423535346984863,0.977130889892578,3.2467782497406,,,,,,,
147.734015265,-0.188703149557114,1.08993339538574,3.03824949264526,,,,,,,
147.738938806,0.043770968914032,1.25803375244141,2.74715685844421,,,,,,,
147.743863181,0.290720999240875,1.42872428894043,2.48370432853699,,,,,,,
147.748786671,0.475758373737335,1.53982925415039,2.21438956260681,,,,,,,
147.753709379,0.670802235603333,1.49343490600586,1.90319395065308,,,,,,,
147.758632921,0.813667953014374,1.37339782714844,1.67463493347168,,,,,,,
147.763557296,0.858925223350525,1.21812152862549,1.46390247344971,,,,,,,
147.768480786,0.902551531791687,0.972635269165039,1.30929350852966,,,,,,,
147.773403494,1.09801292419434,0.715904235839844,1.11761236190796,,,,,,,
147.778327036,1.05770647525787,0.364389419555664,0.596810340881348,,,,,,,
147.783251411,0.712265253067017,0.0162839889526367,0.175282001495361,,,,,,,
147.7881749,0.456550002098084,-0.251914978027344,0.0849442481994629,,,,,,,
147.793097608,0.321576952934265,-0.46926212310791,0.118218898773193,,,,,,,
147.79802115,0.400262892246246,-0.647961616516113,0.194285154342651,,,,,,,
147.802945525,0.484123528003693,-0.859931468963623,0.131825685501099,,,,,,,
147.807869015,0.59226530790329,-1.09091806411743,0.0485835075378418,,,,,,,
147.812791775,0.707966327667236,-1.32665586471558,-0.155544996261597,,,,,,,
147.817715265,0.644604802131653,-1.59588384628296,-0.425271987915039,,,,,,,
147.822639692,0.533790349960327,-1.88422584533691,-0.674392223358154,,,,,,,
147.827563129,0.358786404132843,-2.20122575759888,-0.898158550262451,,,,,,,
147.83248589,0.10049694776535,-2.49657678604126,-1.05613791942596,,,,,,,
147.837409431,-0.0926283299922943,-2.85162401199341,-1.19619786739349,,,,,,,
147.842333806,-0.220737159252167,-3.19216966629028,-1.2872805595398,,,,,,,
147.847257296,-0.372431963682175,-3.51578521728516,-1.48742413520813,,,,,,,
147.852180004,-0.562378644943237,-3.79855632781982,-1.61481535434723,,,,,,,
147.857103546,-0.620786249637604,-4.05015563964844,-1.65743696689606,,,,,,,
147.862027921,-0.648238599300385,-4.24916315078735,-1.70610249042511,,,,,,,
147.866951411,-0.637620806694031,-4.4386739730835,-1.79671597480774,,,,,,,
147.871874119,-0.584175705909729,-4.56847476959229,-1.92449593544006,,,,,,,
147.876797661,-0.521480619907379,-4.65300846099854,-2.03673696517944,,,,,,,
147.881722036,-0.497437804937363,-4.76640510559082,-2.18382573127747,,,,,,,
147.886645525,-0.564705908298492,-4.82251119613648,-2.32756590843201,,,,,,,
147.891568233,-0.677832245826721,-4.80708980560303,-2.34113359451294,,,,,,,
147.896491775,-0.683579564094544,-4.61986827850342,-2.20301795005798,,,,,,,
147.90141615,-0.529442191123962,-4.47406530380249,-2.04678678512573,,,,,,,
147.90633964,-0.38782063126564,-4.3983268737793,-1.97527575492859,,,,,,,
147.9112624,-0.14866030216217,-4.23714733123779,-1.91903436183929,,,,,,,
147.91618589,0.243009388446808,-4.03851842880249,-1.74876356124878,,,,,,,
147.921110317,0.564505755901337,-3.75472259521484,-1.51704788208008,,,,,,,
147.926033754,0.724732637405396,-3.47431516647339,-1.34118151664734,,,,,,,
147.930956515,0.809782326221466,-3.20911073684692,-1.22624230384827,,,,,,,
147.935880056,0.910508632659912,-2.94212675094605,-1.22298979759216,,,,,,,
147.940804431,1.05565083026886,-2.74487638473511,-1.20756924152374,,,,,,,
147.945727921,1.18060946464539,-2.58362722396851,-1.11351573467255,,,,,,,
147.950650629,1.32864379882813,-2.41515207290649,-0.874393224716187,,,,,,,
147.955574171,1.39201414585114,-2.28236818313599,-0.648560762405396,,,,,,,
147.960498546,1.27994418144226,-2.18512392044067,-0.438708543777466,,,,,,,
147.965422036,1.22458028793335,-2.109046459198,-0.199337720870972,,,,,,,
147.970344744,1.21878135204315,-1.90356636047363,0.0482561588287354,,,,,,,
147.975268286,1.21238648891449,-1.65982055664063,0.206340551376343,,,,,,,
147.980192661,1.23892915248871,-1.39231538772583,0.151003837585449,,,,,,,
147.98511615,1.32490730285645,-1.12503099441528,0.02608323097229,,,,,,,
147.990038858,1.38433682918549,-0.805418491363525,-0.0701429843902588,,,,,,,
147.9949624,1.28798007965088,-0.493433952331543,-0.0991437435150147,,,,,,,
147.999886775,1.13639414310455,-0.213067054748535,-0.0774850845336914,,,,,,,
148.004810265,1.01793658733368,-0.00494480133056641,-0.0649588108062744,,,,,,,
148.009733025,0.992402017116547,0.166853904724121,-0.0758001804351807,,,,,,,
148.014656515,1.01201975345612,0.3597412109375,-0.0740616321563721,,,,,,,
148.01958089,0.997927486896515,0.473227500915527,-0.0453090667724609,,,,,,,
148.024504379,0.983881294727325,0.595941543579102,-0.0638573169708252,,,,,,,
148.02942714,0.962834894657135,0.71110725402832,-0.112854242324829,,,,,,,
148.034350629,0.743372857570648,0.854641914367676,-0.194750308990479,,,,,,,
148.039275056,0.62470805644989,1.0336446762085,-0.225707054138184,,,,,,,
148.044198494,0.637969851493835,1.21457290649414,-0.325284481048584,,,,,,,
148.049121254,0.654053092002869,1.35208415985107,-0.28084135055542,,,,,,,
148.054044796,0.687315464019775,1.4917163848877,-0.214653491973877,,,,,,,
148.058969171,0.771425485610962,1.65745162963867,-0.103044748306274,,,,,,,
148.063892661,0.844173192977905,1.88044929504395,0.0273129940032959,,,,,,,
148.068815369,0.972598135471344,2.16541767120361,0.233783006668091,,,,,,,
148.073738911,1.08724141120911,2.44286727905273,0.50213360786438,,,,,,,
148.078663286,1.17599761486053,2.69353485107422,0.806400775909424,,,,,,,
148.083586775,1.3584942817688,3.02961921691895,1.18780946731567,,,,,,,
148.088509483,1.4216343164444,3.4078369140625,1.51277995109558,,,,,,,
148.093433025,1.51619160175323,3.91175079345703,1.73616647720337,,,,,,,
148.0983574,1.73543179035187,4.47186851501465,1.86766767501831,,,,,,,
148.10328089,1.7587753534317,4.98063373565674,1.84491729736328,,,,,,,
148.108203598,1.78748595714569,5.34967994689941,1.82821106910706,,,,,,,
148.11312714,1.72353613376617,5.62470626831055,1.87467122077942,,,,,,,
148.118051515,1.52646052837372,5.79877471923828,1.84282732009888,,,,,,,
148.122975004,1.30183660984039,5.87210655212402,1.78750061988831,,,,,,,
148.127897713,1.09067320823669,5.81868553161621,1.79193091392517,,,,,,,
148.132821254,0.917033314704895,5.65792751312256,1.71221017837524,,,,,,,
148.137745629,0.517558932304382,5.4403190612793,1.66995930671692,,,,,,,
148.142669119,-0.189697742462158,5.03241729736328,1.41527891159058,,,,,,,
148.147591879,-1.09732389450073,4.45636463165283,1.1289324760437,,,,,,,
148.152515369,-1.78222370147705,3.8201150894165,1.18109726905823,,,,,,,
148.157439744,-2.26620888710022,3.24320602416992,1.37792730331421,,,,,,,
148.162363233,-2.52356052398682,2.60582733154297,1.5428249835968,,,,,,,
148.167285994,-2.56870627403259,2.07522583007813,1.7075526714325,,,,,,,
148.172209483,-2.4494743347168,1.69643974304199,1.90399384498596,,,,,,,
148.177133911,-2.57281041145325,1.42828273773193,2.16425943374634,,,,,,,
148.182057348,-2.83129286766052,1.23686981201172,2.37429809570313,,,,,,,
148.186980108,-3.02653670310974,1.09790420532227,2.57089567184448,,,,,,,
148.19190365,-3.10341048240662,0.965816497802734,2.66342520713806,,,,,,,
148.196828025,-3.13361501693726,0.84536075592041,2.61142349243164,,,,,,,
148.201751515,-3.17209434509277,0.726974487304688,2.49631500244141,,,,,,,
148.206674223,-3.16116619110107,0.670554161071777,2.34410905838013,,,,,,,
148.211597765,-3.16532731056213,0.656932830810547,2.27191352844238,,,,,,,
